timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
2018,Adobe,5,Software Engineer,242000,"San Jose, CA",10,1,Full Stack,175000,63000,4000,NA,NA,7422,807,2358,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,151000,"Lehi, UT",10,5,Networking,120000,25000,6000,Male,NA,15555,770,5144,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 5,Software Engineer,270000,"Emeryville, CA",10,0,Distributed Systems (Back-End),200000,50000,20000,Male,NA,15315,807,5315,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,179000,"Lehi, UT",10,6,Networking,126000,44000,9000,NA,Title: Networking Engineer,15555,770,11887,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,235000,"San Francisco, CA",10,1,Web Development (Front-End),170000,60000,5000,Male,NA,7419,807,14092,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 4,Software Engineer,352000,"San Jose, CA",10,1,ML / AI,220000,110000,22000,NA,NA,7422,807,14316,0,0,0,0,0,0,0,0,0,0,NA,NA
2019,Adobe,Software Engineer 5,Software Engineer,270000,"San Jose, CA",10,9,Full Stack,190000,60000,20000,Female,NA,7422,807,15056,0,0,0,0,0,0,0,0,0,0,NA,NA
2020,Adobe,Software Engineer 4,Software Engineer,280000,"San Jose, CA",10,5,API Development (Back-End),165000,100000,15000,Female,NA,7422,807,21769,0,0,0,0,0,0,0,0,0,0,NA,NA
2020,Adobe,Software Engineer 4,Software Engineer,140000,"Bucharest, BU, Romania",10,3,DevOps,36000,100000,3000,Male,NA,4701,0,23057,0,0,0,0,0,0,0,0,0,0,NA,NA
2020,Adobe,Software Engineer 4,Product Manager,170000,"San Francisco, CA",10,0,Strategy,144000,15000,11000,NA,Masters,7419,807,24372,1,0,0,0,0,0,0,0,0,0,NA,Master's Degree
